"CustomerKey","IncomeGroup","BikeBuyer","GeographyKey","FullName","Age","Gender","YearlyIncome","TotalChildren","NumberChildrenAtHome","EnglishEducation","EnglishOccupation","HouseOwnerFlag","MaritalStatus","NumberCarsOwned","MonthsSinceLastPurchase","CommuteDistance"
11043,Moderate,0,325,Nathan Simmons,40,M,"60000.0000",0,0,Partial College,Skilled Manual,"1",M,2,24,"5-10 Miles"
11044,Low,1,25,Adam Flores,66,M,"20000.0000",2,1,Partial High School,Clerical,"1",M,2,21,"1-2 Miles"
11045,Low,0,8,Leonard Nara,65,M,"30000.0000",3,0,High School,Skilled Manual,"0",S,2,22,"1-2 Miles"
11046,Low,1,6,Christine Yuan,65,F,"30000.0000",3,0,High School,Skilled Manual,"1",M,2,21,"5-10 Miles"
11047,Low,1,34,Jaclyn Lu,66,F,"30000.0000",3,0,High School,Skilled Manual,"0",M,2,21,"1-2 Miles"
11048,Low,1,39,Jeremy Powell,65,M,"30000.0000",3,0,High School,Skilled Manual,"1",M,2,20,"5-10 Miles"
11049,Moderate,0,307,Carol Rai,35,F,"40000.0000",0,0,Partial High School,Clerical,"1",S,2,22,"5-10 Miles"
11050,Low,1,31,Alan Zheng,64,M,"30000.0000",3,0,High School,Skilled Manual,"1",M,2,21,"5-10 Miles"
11051,Low,0,21,Daniel Johnson,64,M,"30000.0000",3,0,High School,Skilled Manual,"0",S,2,19,"1-2 Miles"
11052,Moderate,1,8,Heidi Lopez,64,F,"40000.0000",2,0,Partial College,Clerical,"0",S,2,27,"5-10 Miles"
11053,Moderate,1,359,Ana Price,35,F,"60000.0000",0,0,Partial College,Skilled Manual,"0",M,2,31,"1-2 Miles"
11054,Moderate,1,34,Deanna Munoz,63,F,"40000.0000",2,0,Partial College,Skilled Manual,"1",M,2,27,"5-10 Miles"
11055,Moderate,1,22,Gilbert Raje,63,M,"40000.0000",2,0,Partial College,Skilled Manual,"1",M,2,26,"5-10 Miles"
11056,Moderate,1,10,Michele Nath,62,F,"40000.0000",3,0,Partial College,Skilled Manual,"1",M,2,27,"5-10 Miles"
11057,High,1,5,Carl Andersen,51,M,"70000.0000",2,0,Graduate Degree,Management,"1",M,2,27,"1-2 Miles"
11058,High,1,29,Marc Diaz,56,M,"80000.0000",2,0,Partial College,Skilled Manual,"1",M,2,26,"1-2 Miles"
11059,High,0,27,Ashlee Andersen,61,F,"80000.0000",2,0,Partial College,Skilled Manual,"1",S,2,29,"5-10 Miles"
11060,High,1,40,Jon Zhou,61,M,"80000.0000",2,0,Partial College,Skilled Manual,"1",M,2,26,"5-10 Miles"
11061,High,1,23,Todd Gao,45,M,"80000.0000",2,0,Partial College,Skilled Manual,"1",M,2,26,"5-10 Miles"
11062,Moderate,1,547,Noah Powell,40,M,"40000.0000",0,0,High School,Skilled Manual,"1",M,2,31,"5-10 Miles"
11063,Moderate,1,634,Angela Murphy,40,F,"40000.0000",0,0,High School,Skilled Manual,"1",S,2,31,"5-10 Miles"
11064,Moderate,1,315,Chase Reed,40,M,"40000.0000",0,0,High School,Skilled Manual,"1",M,2,31,"5-10 Miles"
11065,Moderate,0,331,Jessica Henderson,42,F,"60000.0000",0,0,Partial College,Skilled Manual,"0",M,2,19,"1-2 Miles"
11066,High,0,543,Grace Butler,42,F,"70000.0000",0,0,Partial College,Professional,"1",M,2,23,"5-10 Miles"
11067,Moderate,0,632,Caleb Carter,39,M,"60000.0000",0,0,Partial College,Professional,"1",S,2,19,"5-10 Miles"
11068,High,0,40,Tiffany Liang,54,F,"80000.0000",2,0,High School,Skilled Manual,"1",S,2,22,"5-10 Miles"
11069,High,1,23,Carolyn Navarro,54,F,"80000.0000",2,0,High School,Skilled Manual,"0",S,2,26,"1-2 Miles"
11070,High,1,39,Willie Raji,60,M,"80000.0000",2,0,High School,Skilled Manual,"1",M,2,26,"5-10 Miles"
11071,High,0,24,Linda Serrano,60,F,"80000.0000",2,0,High School,Skilled Manual,"1",S,2,20,"5-10 Miles"
11072,High,1,17,Casey Luo,61,F,"80000.0000",2,0,High School,Skilled Manual,"0",S,2,26,"1-2 Miles"
11073,High,0,16,Amy Ye,59,F,"70000.0000",2,0,High School,Skilled Manual,"1",S,2,24,"5-10 Miles"
11074,High,0,28,Levi Arun,59,M,"70000.0000",2,0,High School,Skilled Manual,"1",S,2,27,"5-10 Miles"
11075,High,1,32,Felicia Jimenez,58,F,"80000.0000",2,0,High School,Professional,"1",S,2,26,"5-10 Miles"
11076,High,1,19,Blake Anderson,58,M,"80000.0000",2,0,High School,Professional,"1",S,2,26,"5-10 Miles"
11077,High,1,36,Leah Ye,58,F,"80000.0000",2,0,High School,Professional,"0",S,2,26,"1-2 Miles"
11078,Moderate,0,49,Gina Martin,36,F,"40000.0000",0,0,High School,Professional,"0",S,2,19,"1-2 Miles"
11079,High,0,34,Donald Gonzalez,51,M,"160000.0000",0,0,Graduate Degree,Management,"1",S,2,19,"0-1 Miles"
11080,High,1,30,Damien Chander,56,M,"170000.0000",0,0,Graduate Degree,Management,"1",M,2,26,"0-1 Miles"
11081,High,0,311,Savannah Baker,49,F,"120000.0000",2,2,Bachelors,Management,"1",M,3,28,"2-5 Miles"
11082,High,1,322,Angela Butler,49,F,"130000.0000",0,1,Graduate Degree,Management,"0",S,3,21,"1-2 Miles"
11083,High,1,336,Alyssa Cox,44,F,"130000.0000",0,1,Graduate Degree,Management,"1",M,3,21,"1-2 Miles"
11084,High,1,543,Lucas Phillips,58,M,"80000.0000",2,0,Partial High School,Skilled Manual,"0",S,2,21,"1-2 Miles"
11085,Moderate,0,345,Emily Johnson,58,F,"60000.0000",2,0,High School,Professional,"0",S,2,19,"5-10 Miles"
11086,High,0,369,Ryan Brown,58,M,"70000.0000",2,1,Partial College,Professional,"1",M,0,20,"0-1 Miles"
11087,High,0,307,Tamara Liang,58,F,"70000.0000",3,2,Partial College,Professional,"0",M,0,24,"0-1 Miles"
11088,High,1,359,Hunter Davis,58,M,"80000.0000",2,1,Bachelors,Management,"1",M,0,21,"2-5 Miles"
11089,High,1,337,Abigail Price,59,F,"80000.0000",2,1,Bachelors,Management,"1",S,1,21,"2-5 Miles"
11090,High,1,338,Trevor Bryant,52,M,"90000.0000",2,0,Partial College,Professional,"1",S,1,21,"2-5 Miles"
11091,High,0,50,Dalton Perez,58,M,"90000.0000",2,0,Partial College,Professional,"1",M,1,19,"5-10 Miles"
11092,High,1,22,Cheryl Diaz,48,F,"90000.0000",2,2,Bachelors,Professional,"1",M,0,26,"1-2 Miles"
11093,High,1,19,Aimee He,42,F,"100000.0000",0,0,Graduate Degree,Management,"1",M,0,26,"0-1 Miles"
11094,High,0,33,Cedric Ma,53,M,"70000.0000",1,0,Partial College,Skilled Manual,"0",S,1,19,"0-1 Miles"
11095,High,1,13,Chad Kumar,53,M,"70000.0000",1,0,Partial College,Skilled Manual,"1",S,1,26,"5-10 Miles"
11096,Moderate,1,12,Andrés Anand,53,M,"60000.0000",1,0,Bachelors,Professional,"1",M,1,25,"5-10 Miles"
11097,Moderate,1,40,Edwin Nara,48,M,"60000.0000",1,0,Partial College,Skilled Manual,"1",M,1,25,"5-10 Miles"
11098,Moderate,0,14,Mallory Rubio,54,F,"60000.0000",1,0,Partial College,Skilled Manual,"0",S,1,22,"0-1 Miles"
11099,Moderate,1,13,Adam Ross,54,M,"60000.0000",1,0,Bachelors,Professional,"1",M,1,25,"0-1 Miles"
11100,Moderate,1,28,Latasha Navarro,55,F,"60000.0000",1,0,Partial College,Skilled Manual,"1",S,1,24,"5-10 Miles"
11101,High,1,33,Abby Sai,50,F,"70000.0000",0,0,Bachelors,Professional,"0",S,1,26,"0-1 Miles"
11102,High,0,18,Julia Nelson,50,F,"80000.0000",5,5,Bachelors,Professional,"1",S,4,20,"1-2 Miles"
11103,High,1,3,Cassie Chande,40,F,"70000.0000",0,0,Bachelors,Professional,"1",S,1,26,"5-10 Miles"
11104,High,1,23,Edgar Sara,46,M,"70000.0000",0,0,Bachelors,Professional,"0",M,1,26,"0-1 Miles"
11105,High,1,8,Candace Fernandez,51,F,"70000.0000",0,0,Bachelors,Professional,"0",S,1,26,"5-10 Miles"
11106,High,1,40,Jessie Liu,51,M,"70000.0000",0,0,Bachelors,Professional,"0",S,1,26,"5-10 Miles"
11107,High,1,17,Bianca Lin,45,F,"90000.0000",1,0,Bachelors,Professional,"1",M,1,26,"5-10 Miles"
11108,High,1,13,Kari Alvarez,52,F,"70000.0000",0,0,Bachelors,Professional,"0",S,2,26,"0-1 Miles"
11109,High,1,38,Ruben Kapoor,41,M,"70000.0000",0,0,Bachelors,Professional,"0",S,2,26,"0-1 Miles"
11110,Moderate,1,3,Curtis Yang,53,M,"60000.0000",1,0,Partial College,Skilled Manual,"1",M,1,24,"5-10 Miles"
11111,Moderate,1,34,Meredith Gutierrez,54,F,"60000.0000",1,0,Partial College,Skilled Manual,"1",M,1,24,"0-1 Miles"
11112,Moderate,1,25,Crystal Wang,53,F,"60000.0000",1,0,Partial College,Skilled Manual,"1",M,1,23,"0-1 Miles"
11113,High,0,30,Micheal Blanco,48,M,"70000.0000",5,4,Bachelors,Professional,"1",M,2,28,"5-10 Miles"
11114,High,0,14,Leslie Moreno,53,F,"70000.0000",5,4,Partial College,Skilled Manual,"1",S,2,20,"5-10 Miles"
11115,High,0,17,Alvin Cai,54,M,"70000.0000",5,4,Partial College,Skilled Manual,"1",M,2,19,"0-1 Miles"
11116,High,0,18,Clinton Carlson,42,M,"70000.0000",5,4,Partial College,Skilled Manual,"1",M,2,22,"5-10 Miles"
11117,High,1,8,April Deng,55,F,"70000.0000",5,4,Partial College,Skilled Manual,"1",M,3,26,"10+ Miles"
11118,High,0,6,Alvin Zeng,58,M,"80000.0000",1,0,Partial College,Skilled Manual,"0",S,1,19,"0-1 Miles"
11119,Low,0,13,Evan James,80,M,"30000.0000",2,0,Partial College,Clerical,"0",S,2,21,"0-1 Miles"
11120,Moderate,1,18,Beth Jiménez,79,F,"40000.0000",2,0,Bachelors,Management,"1",S,1,23,"5-10 Miles"
11121,High,0,10,Orlando Suarez,55,M,"70000.0000",5,4,Partial College,Skilled Manual,"1",M,3,21,"10+ Miles"
11122,High,0,12,Byron Vazquez,55,M,"70000.0000",5,4,Partial College,Skilled Manual,"1",M,3,24,"5-10 Miles"
11123,High,0,39,Philip Alvarez,55,M,"70000.0000",5,4,Partial College,Skilled Manual,"1",M,3,19,"10+ Miles"
11124,High,1,40,Ross Jordan,53,M,"80000.0000",1,0,Partial College,Skilled Manual,"1",S,1,26,"5-10 Miles"
11125,High,0,37,Dana Navarro,59,F,"70000.0000",1,0,Partial College,Skilled Manual,"1",S,1,25,"5-10 Miles"
11126,Low,1,11,Shaun Carson,66,M,"10000.0000",2,1,High School,Skilled Manual,"0",M,2,21,"0-1 Miles"
11127,Moderate,0,361,Jan Edwards,40,F,"40000.0000",0,0,High School,Skilled Manual,"1",M,1,22,"5-10 Miles"
11128,Moderate,0,635,Samantha Long,40,F,"40000.0000",0,0,High School,Skilled Manual,"1",M,1,24,"5-10 Miles"
11129,Moderate,1,638,Julia Wright,40,F,"40000.0000",0,0,High School,Skilled Manual,"1",S,1,31,"5-10 Miles"
11130,Low,0,543,Caroline Russell,36,F,"30000.0000",0,0,High School,Skilled Manual,"1",M,2,20,"5-10 Miles"
11131,Low,0,50,Amanda Rivera,35,F,"30000.0000",0,0,High School,Skilled Manual,"0",M,2,19,"0-1 Miles"
11132,Low,1,51,Melissa Richardson,35,F,"30000.0000",0,0,High School,Skilled Manual,"0",S,2,28,"5-10 Miles"
11133,Low,0,542,Angela Griffin,35,F,"30000.0000",0,0,Partial High School,Clerical,"0",S,2,19,"0-1 Miles"
11134,Low,1,30,Larry Townsend,64,M,"10000.0000",5,0,High School,Skilled Manual,"1",S,2,21,"5-10 Miles"
11135,Low,1,302,Marcus Harris,36,M,"30000.0000",0,0,Partial High School,Clerical,"0",S,2,28,"5-10 Miles"
11136,Moderate,1,53,Brianna Morgan,37,F,"40000.0000",0,0,High School,Skilled Manual,"0",S,2,31,"0-1 Miles"
11137,Moderate,0,641,Jasmine Taylor,37,F,"40000.0000",0,0,High School,Skilled Manual,"1",M,2,19,"5-10 Miles"
11138,Moderate,0,325,Lauren Davis,37,F,"40000.0000",0,0,High School,Skilled Manual,"0",M,2,19,"0-1 Miles"
11139,Low,0,28,Tanya Moreno,71,F,"30000.0000",2,0,Partial College,Clerical,"0",S,2,22,"5-10 Miles"
11140,Low,0,301,Javier Alvarez,39,M,"30000.0000",0,0,Partial High School,Clerical,"0",S,2,29,"5-10 Miles"
11141,Moderate,0,314,Nicole Ramirez,38,F,"40000.0000",0,0,High School,Skilled Manual,"0",M,2,23,"0-1 Miles"
11142,Moderate,0,51,Eduardo Patterson,38,M,"40000.0000",0,0,High School,Skilled Manual,"0",S,2,19,"0-1 Miles"
11143,Moderate,0,334,Jonathan Henderson,39,M,"40000.0000",0,0,High School,Skilled Manual,"1",M,2,20,"5-10 Miles"
11144,Moderate,1,607,Edward Hernandez,36,M,"40000.0000",0,0,High School,Skilled Manual,"0",S,2,31,"0-1 Miles"
11145,Moderate,1,536,Jasmine Coleman,36,F,"40000.0000",0,0,High School,Skilled Manual,"0",S,2,31,"0-1 Miles"
11146,Moderate,0,8,Karla Goel,76,F,"40000.0000",2,0,Bachelors,Management,"1",S,2,23,"5-10 Miles"
11147,Moderate,1,40,Ernest Wu,77,M,"60000.0000",2,0,Graduate Degree,Management,"1",M,1,22,"0-1 Miles"
11148,Moderate,0,22,Ross Vazquez,74,M,"40000.0000",2,0,Bachelors,Management,"1",M,2,20,"5-10 Miles"
11149,Moderate,0,25,Theodore Gill,74,M,"40000.0000",2,0,Bachelors,Management,"1",M,2,20,"0-1 Miles"
11150,Moderate,0,39,Russell Shen,74,M,"40000.0000",2,0,Bachelors,Management,"1",S,2,25,"5-10 Miles"
11151,Moderate,1,18,Melinda Gill,74,F,"60000.0000",2,0,Graduate Degree,Management,"0",S,1,22,"0-1 Miles"
11152,Moderate,1,633,James Williams,40,M,"40000.0000",0,0,High School,Skilled Manual,"1",S,2,31,"5-10 Miles"
11153,Moderate,0,635,Angela James,39,F,"40000.0000",0,0,High School,Skilled Manual,"1",M,2,29,"5-10 Miles"
11154,Moderate,1,553,Megan Walker,39,F,"40000.0000",0,0,Partial College,Skilled Manual,"1",S,1,31,"5-10 Miles"
11155,Moderate,1,301,Hunter Robinson,40,M,"40000.0000",0,0,Partial College,Skilled Manual,"0",S,1,31,"1-2 Miles"
11156,Moderate,1,334,Maria Roberts,40,F,"40000.0000",0,0,Partial College,Skilled Manual,"0",S,1,31,"1-2 Miles"
11157,Moderate,0,642,Hannah Long,40,F,"40000.0000",0,0,High School,Skilled Manual,"1",M,2,23,"5-10 Miles"
11158,Moderate,1,361,Jason Wright,40,M,"40000.0000",0,0,High School,Skilled Manual,"1",S,2,31,"5-10 Miles"
11159,Moderate,0,385,Brianna Hughes,40,F,"40000.0000",0,0,High School,Skilled Manual,"0",S,2,21,"1-2 Miles"
11160,Moderate,1,311,Maurice Tang,42,M,"40000.0000",0,0,Partial College,Skilled Manual,"0",S,1,30,"5-10 Miles"
11161,Moderate,0,311,Emily Wood,41,F,"40000.0000",0,0,Partial College,Skilled Manual,"0",S,1,21,"1-2 Miles"
11162,Moderate,1,331,Chase Cox,41,M,"40000.0000",0,0,Partial College,Skilled Manual,"1",S,1,30,"5-10 Miles"
11163,Moderate,0,372,Gabriel Wang,41,M,"40000.0000",0,0,Partial College,Skilled Manual,"1",M,1,24,"5-10 Miles"
11164,Moderate,0,374,Devin Brooks,41,M,"40000.0000",0,0,Partial College,Skilled Manual,"0",S,1,24,"1-2 Miles"
11165,Moderate,0,348,Jocelyn Alexander,42,F,"60000.0000",0,0,Partial College,Skilled Manual,"0",M,1,26,"1-2 Miles"
11166,High,0,631,Ashley Martinez,43,F,"70000.0000",0,0,Partial College,Skilled Manual,"0",S,2,20,"0-1 Miles"
11167,High,1,618,Jasmine Barnes,43,F,"80000.0000",0,0,Bachelors,Management,"0",S,1,21,"0-1 Miles"
11168,High,1,348,David Rodriguez,47,M,"80000.0000",0,0,Bachelors,Management,"0",S,1,21,"0-1 Miles"
11169,High,0,312,Bryce Richardson,47,M,"90000.0000",4,4,Bachelors,Management,"1",M,1,23,"0-1 Miles"
11170,High,0,612,Carol Howard,48,F,"90000.0000",4,4,Bachelors,Management,"1",M,1,20,"0-1 Miles"
11171,High,1,385,Jonathan Hill,42,M,"100000.0000",1,0,Bachelors,Management,"1",S,2,21,"1-2 Miles"
11172,High,0,626,Gabrielle Adams,48,F,"100000.0000",1,0,Bachelors,Management,"1",M,2,19,"1-2 Miles"
11173,High,0,552,Sarah Thomas,48,F,"110000.0000",0,0,Graduate Degree,Management,"0",S,4,20,"0-1 Miles"
11174,High,0,338,Nicholas Robinson,48,M,"110000.0000",0,1,Graduate Degree,Management,"1",M,0,25,"2-5 Miles"
11175,High,1,300,Luis Wang,52,M,"70000.0000",0,0,Partial College,Skilled Manual,"1",S,2,21,"5-10 Miles"
11176,High,0,50,Mason Roberts,42,M,"90000.0000",4,4,Bachelors,Management,"1",M,1,19,"1-2 Miles"
11177,High,0,359,Jose Flores,73,M,"110000.0000",2,4,Graduate Degree,Management,"1",M,2,22,"5-10 Miles"
11178,High,0,334,Nathan Johnson,67,M,"100000.0000",2,3,Graduate Degree,Management,"1",M,3,27,"1-2 Miles"
11179,High,0,300,Molly Rodriguez,61,F,"120000.0000",2,4,Graduate Degree,Management,"1",M,3,19,"5-10 Miles"
11180,High,0,307,April Anand,73,F,"160000.0000",1,3,Bachelors,Management,"1",M,4,23,"0-1 Miles"
11181,High,0,338,Devin Martin,61,M,"170000.0000",2,3,Graduate Degree,Management,"1",M,2,25,"0-1 Miles"
11182,High,0,638,Stephanie Torres,71,F,"70000.0000",4,0,Bachelors,Management,"1",S,2,19,"10+ Miles"
11183,High,0,368,Jasmine Lee,71,F,"70000.0000",4,0,Bachelors,Management,"1",S,2,26,"10+ Miles"
11184,High,0,311,Meghan Hernandez,65,F,"70000.0000",4,0,Bachelors,Management,"1",S,2,22,"10+ Miles"
11185,High,0,53,Ashley Henderson,71,F,"70000.0000",4,0,Bachelors,Management,"1",S,2,19,"10+ Miles"
11186,High,0,352,Sarah Price,71,F,"70000.0000",4,0,Bachelors,Management,"1",S,2,19,"10+ Miles"
11187,Moderate,0,612,Jennifer Cooper,72,F,"60000.0000",4,0,Graduate Degree,Management,"1",M,2,24,"10+ Miles"
11188,Moderate,0,361,Catherine Morris,71,F,"60000.0000",4,0,Graduate Degree,Management,"0",M,2,19,"1-2 Miles"
11189,Moderate,1,609,Lawrence Blanco,71,M,"60000.0000",4,0,Graduate Degree,Management,"1",S,2,30,"10+ Miles"
11190,High,0,300,Carson Bryant,71,M,"70000.0000",5,0,Bachelors,Management,"1",M,2,19,"10+ Miles"
11191,High,1,310,Kristi Perez,70,F,"70000.0000",5,0,Bachelors,Management,"1",S,3,21,"10+ Miles"
11192,Moderate,0,637,James Brown,70,M,"60000.0000",4,0,Bachelors,Management,"1",M,2,23,"2-5 Miles"
11193,Moderate,0,553,Ian Gray,71,M,"60000.0000",4,0,Bachelors,Management,"1",M,2,24,"2-5 Miles"
11194,Moderate,0,352,Jacqueline Price,70,F,"60000.0000",4,0,Bachelors,Management,"1",M,2,20,"2-5 Miles"
11195,Moderate,0,635,Megan Henderson,70,F,"60000.0000",5,0,Bachelors,Management,"1",M,3,22,"10+ Miles"
11196,Moderate,0,536,Alfredo Romero,69,M,"60000.0000",5,0,Bachelors,Management,"1",M,3,23,"10+ Miles"
11197,High,0,637,Andrea Morris,69,F,"70000.0000",3,1,Bachelors,Management,"0",M,1,25,"1-2 Miles"
11198,High,0,368,Brooke Sanders,69,F,"70000.0000",4,1,Bachelors,Management,"1",S,1,30,"10+ Miles"
11199,High,0,302,Jacqueline Bennett,63,F,"70000.0000",4,1,Bachelors,Management,"1",M,1,22,"10+ Miles"
11200,High,0,69,Jason Griffin,68,M,"70000.0000",4,1,Bachelors,Management,"1",M,1,19,"1-2 Miles"
11201,High,0,369,Amanda Foster,68,F,"70000.0000",4,1,Bachelors,Management,"1",M,1,23,"10+ Miles"
11202,High,0,334,Alexia Price,63,F,"80000.0000",5,0,Bachelors,Management,"0",M,2,23,"1-2 Miles"
11203,Moderate,0,60,Luis Diaz,62,M,"40000.0000",2,1,High School,Professional,"1",M,2,20,"10+ Miles"
11204,Moderate,0,536,Destiny Rivera,67,F,"40000.0000",2,1,High School,Professional,"1",M,2,21,"2-5 Miles"
11205,Moderate,0,612,Abby Fernandez,67,F,"40000.0000",2,1,High School,Professional,"1",M,2,22,"10+ Miles"
11206,Moderate,0,626,Blake Flores,67,M,"60000.0000",2,1,Partial College,Professional,"1",M,1,27,"10+ Miles"
11207,Moderate,0,635,Danielle Cox,67,F,"60000.0000",2,1,Partial College,Professional,"1",S,1,22,"10+ Miles"
11208,Moderate,0,325,Maria Reed,68,F,"60000.0000",2,1,Bachelors,Management,"1",M,0,23,"10+ Miles"
11209,Moderate,0,336,Allison Evans,68,F,"60000.0000",2,1,Bachelors,Management,"1",M,0,19,"10+ Miles"
11210,High,0,383,Edward Wood,67,M,"70000.0000",4,1,Partial College,Professional,"1",M,2,23,"10+ Miles"
11211,Moderate,0,50,Samantha Russell,60,F,"40000.0000",2,1,High School,Professional,"1",M,2,19,"2-5 Miles"
11212,Moderate,0,53,Chloe Campbell,66,F,"40000.0000",2,1,High School,Professional,"1",M,2,19,"2-5 Miles"
11213,Moderate,0,614,Stephanie Murphy,66,F,"60000.0000",2,1,Partial College,Professional,"1",S,2,23,"10+ Miles"
11214,Moderate,0,545,Charles Miller,66,M,"60000.0000",2,1,Partial College,Professional,"1",S,2,21,"10+ Miles"
11215,Moderate,0,62,Ana Perry,60,F,"40000.0000",2,1,Partial High School,Skilled Manual,"1",M,2,20,"10+ Miles"
11216,Moderate,1,547,Jasmine Torres,65,F,"60000.0000",2,1,Partial College,Professional,"1",S,2,30,"10+ Miles"
